station,city,state,calculated_AQI,aqi_label,aqi_category,dominant_pollutant_by_AQI,dominant_AQI_subindex,SI_PM2.5,SI_PM10,SI_SO2,SI_NO2,SI_CO,SI_NH3,SI_OZONE
"Ved Vihar-Loni, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,324.61,Very Poor,FULL,PM2.5,324.61,324.61,123.44,18.75,48.75,4.95,3.5,12.0
"Wave City, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,27.5,Good,PARTIAL_HIGH_CONFIDENCE,NO2,27.5,,,3.75,27.5,5.25,,27.0
"Loni, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,355.07,Very Poor,FULL,PM2.5,355.07,355.07,159.74,18.75,55.9,3.15,1.0,7.0
"Sanjay Nagar, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,243.9,Poor,FULL,PM2.5,243.9,243.9,128.72,10.0,36.25,2.2,2.25,30.0
"Knowledge Park - V, Greater Noida - UPPCB",Greater Noida,Uttar Pradesh,357.35,Very Poor,FULL,PM2.5,357.35,357.35,139.94,8.75,82.85,2.2,3.75,30.0
"Shivaji Nagar, Rishikesh - UKPCB",Rishikesh,Uttarakhand,34.0,Good,PARTIAL_HIGH_CONFIDENCE,OZONE,34.0,3.33,21.0,1.25,7.5,,0.5,34.0
"Asansol Court Area, Asansol - WBPCB",Asansol,West Bengal,54.27,Satisfactory,FULL,PM2.5,54.27,54.27,32.0,17.5,36.25,1.45,0.75,20.0
"Evelyn Lodge, Asansol - WBPCB",Asansol,West Bengal,30.0,Good,FULL,PM2.5,30.0,30.0,20.0,5.0,18.75,0.9,1.25,9.0
"SVSPA Campus, Barrackpore - WBPCB",Barrackpore,West Bengal,38.33,Good,FULL,PM2.5,38.33,38.33,30.0,17.5,11.25,1.6,1.5,16.0
"PCBL Residential Complex, Durgapur - WBPCB",Durgapur,West Bengal,93.47,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,93.47,93.47,75.5,13.75,,1.6,,9.0
"Womens College_City Center, Durgapur - WBPCB",Durgapur,West Bengal,32.0,Good,FULL,PM10,32.0,21.67,32.0,15.0,31.25,1.7,0.5,22.0
"Priyambada Housing Estate, Haldia - WBPCB",Haldia,West Bengal,25.0,Good,FULL,PM10,25.0,23.33,25.0,15.0,21.25,1.4,2.0,17.0
"Dasnagar, Howrah - WBPCB",Howrah,West Bengal,65.7,Satisfactory,FULL,PM2.5,65.7,65.7,37.0,11.25,5.0,2.35,0.25,22.0
"Padmapukur, Howrah - WBPCB",Howrah,West Bengal,71.58,Satisfactory,FULL,PM10,71.58,62.43,71.58,6.25,36.25,2.65,1.75,18.0
"Botanical Garden, Howrah - WBPCB",Howrah,West Bengal,73.87,Satisfactory,FULL,PM2.5,73.87,73.87,41.0,11.25,16.25,0.3,0.5,48.0
"Fort William, Kolkata - WBPCB",Kolkata,West Bengal,46.67,Good,FULL,PM2.5,46.67,46.67,24.0,8.75,18.75,0.85,1.75,41.0
"Victoria, Kolkata - WBPCB",Kolkata,West Bengal,57.86,Satisfactory,FULL,PM10,57.86,52.63,57.86,6.25,17.5,1.2,1.0,26.0
"Rabindra Sarobar, Kolkata - WBPCB",Kolkata,West Bengal,30.0,Good,FULL,PM2.5,30.0,30.0,21.0,7.5,25.0,0.9,1.5,17.0
"Kukrail Picnic Spot-1, Lucknow - UPPCB",Lucknow,Uttar Pradesh,73.87,Satisfactory,FULL,PM2.5,73.87,73.87,52.96,32.5,40.0,0.7,1.5,11.0
"Pallavpuram Phase 2, Meerut - UPPCB",Meerut,Uttar Pradesh,315.47,Very Poor,FULL,PM2.5,315.47,315.47,118.16,30.0,42.5,0.95,2.5,36.0
"Ganga Nagar, Meerut - UPPCB",Meerut,Uttar Pradesh,227.4,Poor,FULL,PM2.5,227.4,227.4,118.82,11.25,37.5,2.8,2.25,54.92
"MIET College, Meerut - UPPCB",Meerut,Uttar Pradesh,320.8,Very Poor,FULL,PM2.5,320.8,320.8,105.62,5.0,33.75,2.95,1.25,105.37
"Jai Bhim Nagar, Meerut - UPPCB",Meerut,Uttar Pradesh,163.7,Moderate,FULL,PM2.5,163.7,163.7,106.94,11.25,30.0,3.7,1.5,44.0
